endpoint,condition,model,point_delta,boot_mean_delta,boot_sd_delta,ci95_low,ci95_high,pct_resamples_positive,ci95_excludes_zero
fluorescence340_450,drop_pred_fluo340,xgboost,-0.00991488567475407,-0.009947201680571567,0.0019125929923751893,-0.013584669258447257,-0.00619148648272985,0.0,True
fluorescence340_450,drop_pred_trans340,xgboost,-0.0005886936202545989,-0.0005581402224171226,0.0010168490653932993,-0.002580490824105,0.0014635865475800553,29.4,False
fluorescence340_450,drop_RDkitFP-RDKit,xgboost,-0.0020029568105632833,-0.002009948216848341,0.0010188284060956231,-0.003935541904398807,5.024156263857213e-05,2.8000000000000003,False
fluorescence340_450,drop_RDKit2D,xgboost,-0.0010124963308228985,-0.000998344316486343,0.0011299248406069359,-0.0033384517305174665,0.0011937793445375008,19.2,False
fluorescence340_450,drop_xtb3,xgboost,-0.0008340361749300529,-0.000858550107619514,0.001076452722909607,-0.002865101790166147,0.0012925560723272415,21.0,False
fluorescence340_450,drop_QM9,xgboost,-0.0008847791081686429,-0.0008639037398439544,0.0009928971933524085,-0.0027159639624659477,0.0009202656107728133,20.599999999999998,False
fluorescence340_450,drop_dyesChromophores,xgboost,-0.0008923763741507384,-0.0008750517195990117,0.0009557628316160694,-0.0026942231183997496,0.0011684378045919875,17.4,False
fluorescence340_450,drop_dyesSimMurcko,xgboost,-0.0010732555600081461,-0.0010694670629987214,0.0009874479084800941,-0.002993593356675184,0.0007884723443893598,14.499999999999998,False
fluorescence340_450,drop_pred_all,xgboost,-0.010597581287533187,-0.010511338695761104,0.0018796582783084741,-0.014433121450084843,-0.006970983887660757,0.0,True
fluorescence340_450,only_pred_fluo340,xgboost,-0.0019338443685321671,-0.0019133390575647657,0.0015150379609688994,-0.00487995457532781,0.0011997267666231798,10.5,False
fluorescence340_450,only_pred_trans340,xgboost,-0.15239397410564492,-0.15236219713550656,0.005665571955552844,-0.16309193674138905,-0.1410873268440662,0.0,True
fluorescence340_450,only_RDkitFP-RDKit,xgboost,-0.010254135728596347,-0.010130594852547505,0.002226601482384127,-0.014448431895539206,-0.005686037047658497,0.0,True
fluorescence340_450,only_RDKit2D,xgboost,-0.03949896068645409,-0.03930318519105022,0.002916593432313379,-0.045141817847462656,-0.03378373254548698,0.0,True
fluorescence340_450,only_xtb3,xgboost,-0.16099708408616198,-0.16074647449628793,0.005149626697814458,-0.17056735428606917,-0.1504152687765166,0.0,True
fluorescence340_450,only_QM9,xgboost,-0.24874633772092458,-0.24836442757852478,0.006394624928524361,-0.260026296532988,-0.23512458635020014,0.0,True
fluorescence340_450,only_dyesChromophores,xgboost,-0.2098423828110384,-0.20957089320563996,0.006512991131385581,-0.2228020018413175,-0.1971940422153887,0.0,True
fluorescence340_450,only_dyesSimMurcko,xgboost,-0.1769497740588215,-0.1764703732364513,0.006043425828392775,-0.18809321569284695,-0.16458264387496296,0.0,True
fluorescence340_450,only_pred_all,xgboost,-0.0027420649580605083,-0.0027072977115780166,0.0015394891258785595,-0.005649390263671866,0.00021392238093966194,4.0,False
fluorescence340_450,drop_pred_fluo340,catboost,-0.01850601389747819,-0.01845990123943432,0.002079179855283571,-0.022315358818954897,-0.014470893611780262,0.0,True
fluorescence340_450,drop_pred_trans340,catboost,-0.0008592659015121962,-0.0008675983398096579,0.0007589197205807872,-0.002315161911237762,0.0005368771964784524,14.099999999999998,False
fluorescence340_450,drop_RDkitFP-RDKit,catboost,0.0004094019228114698,0.0004210525765801285,0.0007334276340124279,-0.001030864877102472,0.0019183680441004656,72.6,False
fluorescence340_450,drop_RDKit2D,catboost,0.0007242348929500375,0.0007507040527007578,0.0008715261572154083,-0.0009305673012355714,0.0023947023415645807,80.10000000000001,False
fluorescence340_450,drop_xtb3,catboost,0.0009001626268488883,0.0008843188163704191,0.0007651083394212617,-0.00055630310915534,0.0023563274084088784,86.5,False
fluorescence340_450,drop_QM9,catboost,0.0004906662106796134,0.0004841451631060387,0.0007674331377524071,-0.0009864375505269918,0.0019817569259043015,73.5,False
fluorescence340_450,drop_dyesChromophores,catboost,0.00020892481450762723,0.00021696790345943062,0.0007286617429870973,-0.0011942901695702805,0.0016628810787458175,62.9,False
fluorescence340_450,drop_dyesSimMurcko,catboost,0.00029045368377822456,0.00031479004204574467,0.0007523604826427392,-0.0011648636134538037,0.0017479077111315546,64.1,False
fluorescence340_450,drop_pred_all,catboost,-0.02275709998523623,-0.0226881587950011,0.0021266866154771966,-0.02688619639533433,-0.018489891817001464,0.0,True
fluorescence340_450,only_pred_fluo340,catboost,-0.0006837728370601148,-0.0006890520749105815,0.0011945345974569233,-0.002895311714843779,0.001678061392767116,29.4,False
fluorescence340_450,only_pred_trans340,catboost,-0.14178637652216497,-0.1418066337200248,0.005332144011871645,-0.1517813197657965,-0.1312894218380215,0.0,True
fluorescence340_450,only_RDkitFP-RDKit,catboost,-0.02455060281848742,-0.024432980433867914,0.0022744437455577415,-0.02864300399682204,-0.020205657825725944,0.0,True
fluorescence340_450,only_RDKit2D,catboost,-0.04916461068018341,-0.04902565921731525,0.002982768929084194,-0.0548067965594302,-0.04313048199288491,0.0,True
fluorescence340_450,only_xtb3,catboost,-0.1570504555978356,-0.156962278221032,0.005045776795198752,-0.16737275717562117,-0.14722809176576124,0.0,True
fluorescence340_450,only_QM9,catboost,-0.24554409010947076,-0.2451461904630162,0.006230572100641302,-0.25637287851521057,-0.23254521211586762,0.0,True
fluorescence340_450,only_dyesChromophores,catboost,-0.2067337403200058,-0.20645386246684289,0.006414674459251552,-0.2192597208097261,-0.19433981751010432,0.0,True
fluorescence340_450,only_dyesSimMurcko,catboost,-0.17774824293380553,-0.1772917898454133,0.006045325428813448,-0.18864133389914944,-0.1652937956952465,0.0,True
fluorescence340_450,only_pred_all,catboost,-0.0019419518986473205,-0.0019588658721471494,0.0012391611376884216,-0.004351386002973151,0.00046243418245806576,5.800000000000001,False
fluorescence480plus,drop_pred_fluo340,xgboost,0.011786958379023327,0.010686644237209176,0.033385262422646236,-0.054830135414590184,0.07597885671832078,62.2,False
fluorescence480plus,drop_pred_trans340,xgboost,-0.00528904801539587,-0.004562176894518822,0.023767428016763844,-0.051942818654814205,0.04065781914687122,40.300000000000004,False
fluorescence480plus,drop_RDkitFP-RDKit,xgboost,0.005132710626098214,0.006568638908884429,0.05154161158322082,-0.09646987649022513,0.10926264674806141,54.7,False
fluorescence480plus,drop_RDKit2D,xgboost,-0.005748151475516772,-0.0064420514720473715,0.03585596839252984,-0.07502267272589812,0.061635155217230404,43.0,False
fluorescence480plus,drop_xtb3,xgboost,0.028340005196566653,0.02828812076912208,0.030382562439029114,-0.026994860146111778,0.09062216714228923,82.0,False
fluorescence480plus,drop_QM9,xgboost,0.003968987946607494,0.004500956747032204,0.02014963254875256,-0.032263559302074314,0.043909715388688576,58.8,False
fluorescence480plus,drop_dyesChromophores,xgboost,-0.0010910588224932738,-0.002109840191713211,0.022851005467342558,-0.044802652548490224,0.0424931001933233,46.1,False
fluorescence480plus,drop_dyesSimMurcko,xgboost,0.032044760935910466,0.031045039836877876,0.02451688484260586,-0.013831093284030774,0.08259037155302477,90.4,False
fluorescence480plus,drop_pred_all,xgboost,0.004814531009851297,0.003513801254145319,0.030737945172342313,-0.053994636272013105,0.06604804795838254,54.0,False
fluorescence480plus,only_pred_fluo340,xgboost,-0.10937231639164502,-0.1121822692263248,0.07135081826549833,-0.2458542712789344,0.032171428144750366,5.6000000000000005,False
fluorescence480plus,only_pred_trans340,xgboost,-0.04694635645805534,-0.047741839027881115,0.06756664482295777,-0.1765804763752454,0.07985012225921588,25.3,False
fluorescence480plus,only_RDkitFP-RDKit,xgboost,-0.015646950540134763,-0.016722068344747047,0.043647569160098786,-0.09558247951200492,0.06940245411362586,35.099999999999994,False
fluorescence480plus,only_RDKit2D,xgboost,0.004192484355251325,0.004870522586265187,0.05218048484978053,-0.0986137487564656,0.10738076604839837,53.0,False
fluorescence480plus,only_xtb3,xgboost,-0.13959717800002647,-0.14349807451432522,0.06119137212008004,-0.2672876909996676,-0.030855236751931418,0.6,True
fluorescence480plus,only_QM9,xgboost,-0.11383894166193254,-0.11666883157111259,0.0610286739693073,-0.23127143438093203,0.006488394628231897,3.2,False
fluorescence480plus,only_dyesChromophores,xgboost,-0.14656299956401697,-0.14783478399392264,0.07635823773436676,-0.30490686205937395,-0.005819094292928965,2.4,True
fluorescence480plus,only_dyesSimMurcko,xgboost,-0.09358774491022726,-0.09489938766245772,0.06405554183123789,-0.21541985405954284,0.02985899706994122,7.3,False
fluorescence480plus,only_pred_all,xgboost,-0.08602850184742361,-0.08836458037920392,0.06423078117745336,-0.20596621648938931,0.0378223169443701,9.5,False
fluorescence480plus,drop_pred_fluo340,catboost,0.0375639111651318,0.03849129631915169,0.03957911317200173,-0.03239038938035722,0.11976953305806734,83.3,False
fluorescence480plus,drop_pred_trans340,catboost,-0.004340014004307058,-0.003992967269500739,0.04335629477215606,-0.08542139711609542,0.08206878024321312,45.800000000000004,False
fluorescence480plus,drop_RDkitFP-RDKit,catboost,0.024725528794704688,0.026539057979595475,0.05061051899386947,-0.0714181631934746,0.13117103071342498,70.19999999999999,False
fluorescence480plus,drop_RDKit2D,catboost,-0.01993081520039819,-0.020775689715255938,0.04407693949560457,-0.11006717738976331,0.06216997909495121,32.6,False
fluorescence480plus,drop_xtb3,catboost,0.0698398752823981,0.06988296162795406,0.04127300947932385,-0.012161878785753751,0.148590603665469,95.1,False
fluorescence480plus,drop_QM9,catboost,-0.04383832512011565,-0.04118906753658732,0.04047214127146779,-0.11894615003315423,0.03754980142539388,16.0,False
fluorescence480plus,drop_dyesChromophores,catboost,-0.04595108181069529,-0.04517260981524506,0.04216427462760777,-0.12856076245507442,0.039300874492066984,14.2,False
fluorescence480plus,drop_dyesSimMurcko,catboost,0.023964760231291238,0.02435493246563994,0.03766910417589619,-0.047156541250278655,0.10279420128019502,75.2,False
fluorescence480plus,drop_pred_all,catboost,0.044506612410986635,0.04426518031189729,0.04282915935589785,-0.0378910801268889,0.12850559865468972,85.39999999999999,False
fluorescence480plus,only_pred_fluo340,catboost,-0.09300313115165615,-0.09170609599714787,0.058457891288424824,-0.20192096676575788,0.024602675062639055,6.0,False
fluorescence480plus,only_pred_trans340,catboost,-0.03489626683929847,-0.03403056092819655,0.06606096161690389,-0.16689951000360237,0.0868611119097594,29.7,False
fluorescence480plus,only_RDkitFP-RDKit,catboost,-0.04652138299137287,-0.04700382402589583,0.041207910531888325,-0.1282092410042296,0.03650077427911886,11.3,False
fluorescence480plus,only_RDKit2D,catboost,0.03130601172310221,0.03494013941442394,0.05450907735808742,-0.06533071035133219,0.14961996860639096,73.6,False
fluorescence480plus,only_xtb3,catboost,-0.1363603334610456,-0.13885954717966684,0.061526504963811644,-0.25849603488551004,-0.015744033851096278,1.0999999999999999,True
fluorescence480plus,only_QM9,catboost,-0.06836237685678181,-0.06872481958139628,0.04487119827334778,-0.15246239063901046,0.02398322367282153,5.800000000000001,False
fluorescence480plus,only_dyesChromophores,catboost,-0.10735864677878926,-0.10749432228428597,0.07857299290110387,-0.26650653211707925,0.0449507631716143,7.7,False
fluorescence480plus,only_dyesSimMurcko,catboost,-0.05361051291875307,-0.05346480905994408,0.06091978056109498,-0.1691056837825804,0.06468487583375729,18.3,False
fluorescence480plus,only_pred_all,catboost,-0.02337464163506897,-0.02382890876717297,0.06048483945735392,-0.13472111050882365,0.09453774542450889,34.300000000000004,False
transmittance340,drop_pred_fluo340,xgboost,-0.0023217420362995345,-0.002337541571461411,0.0026176977768259577,-0.007444536001920288,0.0028059033223189755,18.6,False
transmittance340,drop_pred_trans340,xgboost,-0.009150543211203122,-0.009154311832486602,0.003743710471938198,-0.0167156778304784,-0.0017833724440928817,0.8999999999999999,True
transmittance340,drop_RDkitFP-RDKit,xgboost,-0.006302654198194646,-0.006387486436739219,0.0025838337581395397,-0.011326680438356301,-0.0013410329521064085,0.6,True
transmittance340,drop_RDKit2D,xgboost,0.002109081091415277,0.002078963574756464,0.0029357545447506665,-0.0035387655961437365,0.00772572378634093,76.0,False
transmittance340,drop_xtb3,xgboost,-0.005917968472262114,-0.0058564818018091765,0.0028020314004387208,-0.011464363168190408,-0.0005481724420542671,1.6,True
transmittance340,drop_QM9,xgboost,-0.0032472886840479998,-0.003217825605740626,0.002274301326891947,-0.007409517778353944,0.0014210859521095961,8.3,False
transmittance340,drop_dyesChromophores,xgboost,-0.0026384374856811554,-0.002666841295853289,0.0024436272132235337,-0.007277203908974741,0.0022371154401238675,13.8,False
transmittance340,drop_dyesSimMurcko,xgboost,-0.0020983665743408153,-0.0021761246951689313,0.002414703727474895,-0.006701644276505092,0.0026265196302535693,17.599999999999998,False
transmittance340,drop_pred_all,xgboost,-0.012805032919736448,-0.01286430349108822,0.00428964556712704,-0.021310186112288586,-0.004576370886836168,0.2,True
transmittance340,only_pred_fluo340,xgboost,-0.11672143085117326,-0.11710676200152527,0.008647788792567798,-0.13420453880001662,-0.09991893312221412,0.0,True
transmittance340,only_pred_trans340,xgboost,-0.005580584623552154,-0.00533549775089238,0.00467839822391512,-0.014648736709870715,0.0032962618640608337,12.8,False
transmittance340,only_RDkitFP-RDKit,xgboost,-0.01816614275805306,-0.01807778143269573,0.0049194190126188335,-0.02770699729572944,-0.00814918842163007,0.0,True
transmittance340,only_RDKit2D,xgboost,-0.04618317301387431,-0.046226732524510226,0.00567459409866277,-0.057923870218380816,-0.03562077315088925,0.0,True
transmittance340,only_xtb3,xgboost,-0.14392578720593852,-0.1438220640849568,0.008122876336794753,-0.1588335901304806,-0.12833266359215142,0.0,True
transmittance340,only_QM9,xgboost,-0.20212664894936516,-0.202518228521767,0.01044684281859852,-0.22287457669620497,-0.18283798983741423,0.0,True
