feature,importance
RDkitFP-RDKit::bit206,0.006725672
RDkitFP-RDKit::bit421,0.006557422
RDkitFP-RDKit::bit235,0.0065010195
RDkitFP-RDKit::bit1272,0.0063166213
RDkitFP-RDKit::bit342,0.006096898
RDkitFP-RDKit::bit648,0.005873434
RDkitFP-RDKit::bit467,0.005609385
RDKit2D::fr_C_O_noCOO,0.005349067
RDkitFP-RDKit::bit1909,0.0052544065
RDkitFP-RDKit::bit269,0.0050838646
RDkitFP-RDKit::bit1675,0.004859042
RDkitFP-RDKit::bit11,0.004757465
RDkitFP-RDKit::bit681,0.004740759
RDkitFP-RDKit::bit329,0.004533681
RDkitFP-RDKit::bit732,0.004440046
RDkitFP-RDKit::bit1471,0.0044284877
RDkitFP-RDKit::bit226,0.004345208
RDkitFP-RDKit::bit1505,0.004232718
RDkitFP-RDKit::bit168,0.004203641
RDkitFP-RDKit::bit1109,0.004117152
RDkitFP-RDKit::bit1247,0.0041096695
RDkitFP-RDKit::bit1573,0.0041059298
RDkitFP-RDKit::bit1002,0.0040472182
RDkitFP-RDKit::bit508,0.004029132
RDkitFP-RDKit::bit399,0.0040168045
RDkitFP-RDKit::bit594,0.0039986256
RDkitFP-RDKit::bit1292,0.0039962973
RDkitFP-RDKit::bit1723,0.003965133
RDkitFP-RDKit::bit868,0.0038314958
RDkitFP-RDKit::bit1811,0.0037768094
RDkitFP-RDKit::bit848,0.0037433412
dyesChromophores::21,0.0037264049
RDkitFP-RDKit::bit872,0.0036873305
RDkitFP-RDKit::bit1976,0.0036429293
RDkitFP-RDKit::bit1638,0.003457509
RDkitFP-RDKit::bit1085,0.0034388711
RDkitFP-RDKit::bit880,0.0034107259
RDkitFP-RDKit::bit521,0.0033238009
RDkitFP-RDKit::bit1510,0.0033228793
RDkitFP-RDKit::bit936,0.003322405
RDkitFP-RDKit::bit579,0.0032366908
RDkitFP-RDKit::bit1048,0.0031234552
RDkitFP-RDKit::bit678,0.0031183246
RDkitFP-RDKit::bit560,0.0030647756
RDkitFP-RDKit::bit1647,0.003046921
RDkitFP-RDKit::bit1101,0.0030445787
RDkitFP-RDKit::bit1650,0.003044312
RDkitFP-RDKit::bit1553,0.0029958084
RDkitFP-RDKit::bit241,0.002982014
RDkitFP-RDKit::bit1429,0.0029706259
RDkitFP-RDKit::bit1953,0.0029294493
RDkitFP-RDKit::bit1576,0.0029045588
RDkitFP-RDKit::bit353,0.0029013446
RDkitFP-RDKit::bit244,0.0029010563
RDkitFP-RDKit::bit1170,0.0028997574
RDkitFP-RDKit::bit676,0.0028666754
RDkitFP-RDKit::bit1890,0.0027852992
RDkitFP-RDKit::bit147,0.0027829788
RDkitFP-RDKit::bit4,0.0027816282
RDkitFP-RDKit::bit1201,0.002747356
RDkitFP-RDKit::bit79,0.0027383212
RDkitFP-RDKit::bit123,0.002728153
RDkitFP-RDKit::bit1084,0.0027125098
RDkitFP-RDKit::bit19,0.0026880796
RDkitFP-RDKit::bit479,0.0026775892
RDkitFP-RDKit::bit1859,0.002669375
RDkitFP-RDKit::bit309,0.0026609877
RDkitFP-RDKit::bit1768,0.0026605066
RDkitFP-RDKit::bit878,0.0026589576
RDkitFP-RDKit::bit1014,0.0026576805
RDkitFP-RDKit::bit531,0.002618669
RDkitFP-RDKit::bit650,0.0026173787
RDkitFP-RDKit::bit1698,0.0025858902
RDkitFP-RDKit::bit903,0.002584186
RDkitFP-RDKit::bit1246,0.0025831088
