feature,importance
pred_trans340::rf,0.0072181164
pred_trans340::extra_tree,0.005729808
pred_trans340::lgbm,0.0019548903
RDkitFP-RDKit::bit1121,0.0014848018
RDkitFP-RDKit::bit1905,0.0014142082
RDkitFP-RDKit::bit1375,0.0013328963
RDkitFP-RDKit::bit1424,0.0012846334
RDkitFP-RDKit::bit120,0.0012679552
RDkitFP-RDKit::bit86,0.0012560688
RDkitFP-RDKit::bit649,0.0012547406
RDkitFP-RDKit::bit435,0.0012498373
RDkitFP-RDKit::bit473,0.0012142833
RDkitFP-RDKit::bit81,0.001211588
RDkitFP-RDKit::bit2002,0.001181871
RDkitFP-RDKit::bit637,0.0011809649
RDkitFP-RDKit::bit1950,0.0011581432
RDkitFP-RDKit::bit1774,0.0011449164
pred_fluo340::extra_tree,0.0011437117
RDkitFP-RDKit::bit1553,0.0011432105
RDkitFP-RDKit::bit863,0.0011083185
RDkitFP-RDKit::bit1852,0.0010931905
RDkitFP-RDKit::bit1970,0.0010891418
RDkitFP-RDKit::bit1729,0.0010804015
RDkitFP-RDKit::bit1979,0.0010748876
RDkitFP-RDKit::bit1376,0.0010689959
RDkitFP-RDKit::bit139,0.0010549712
RDkitFP-RDKit::bit791,0.001053057
RDkitFP-RDKit::bit781,0.0010384923
RDkitFP-RDKit::bit1324,0.0010377129
RDkitFP-RDKit::bit1653,0.0010345161
RDkitFP-RDKit::bit101,0.0010200273
RDkitFP-RDKit::bit238,0.0010186261
RDkitFP-RDKit::bit1589,0.0010172668
RDkitFP-RDKit::bit322,0.001015996
RDkitFP-RDKit::bit2010,0.0010096742
RDkitFP-RDKit::bit106,0.0010074889
RDkitFP-RDKit::bit903,0.0010054343
RDkitFP-RDKit::bit1367,0.0010042877
RDkitFP-RDKit::bit1707,0.0010039543
RDkitFP-RDKit::bit766,0.00099917
RDkitFP-RDKit::bit2030,0.0009928471
RDkitFP-RDKit::bit795,0.0009920476
RDkitFP-RDKit::bit1914,0.00097893
RDkitFP-RDKit::bit730,0.00095893926
RDkitFP-RDKit::bit830,0.0009578175
RDkitFP-RDKit::bit1149,0.0009570958
RDkitFP-RDKit::bit909,0.0009499819
RDkitFP-RDKit::bit954,0.00094729563
RDkitFP-RDKit::bit1814,0.0009465772
RDkitFP-RDKit::bit1355,0.0009465198
RDkitFP-RDKit::bit573,0.0009464644
RDkitFP-RDKit::bit1682,0.00094412686
RDkitFP-RDKit::bit1601,0.00094012165
RDkitFP-RDKit::bit1917,0.00093991496
RDkitFP-RDKit::bit1364,0.00093154534
RDkitFP-RDKit::bit1249,0.0009297749
RDkitFP-RDKit::bit1658,0.000927058
RDkitFP-RDKit::bit1237,0.00092474953
RDkitFP-RDKit::bit1991,0.00092435034
RDkitFP-RDKit::bit1254,0.00091579644
RDkitFP-RDKit::bit762,0.00091512996
RDkitFP-RDKit::bit1555,0.0009133605
RDkitFP-RDKit::bit1458,0.00091022113
RDkitFP-RDKit::bit375,0.00090422184
RDkitFP-RDKit::bit542,0.0009034132
RDkitFP-RDKit::bit1962,0.00089638605
RDkitFP-RDKit::bit1938,0.0008953801
RDkitFP-RDKit::bit1065,0.0008919045
RDkitFP-RDKit::bit559,0.00088746415
RDkitFP-RDKit::bit656,0.0008858712
RDkitFP-RDKit::bit226,0.00088094256
RDkitFP-RDKit::bit1240,0.0008795276
RDkitFP-RDKit::bit1275,0.00087664777
RDkitFP-RDKit::bit699,0.000875291
RDkitFP-RDKit::bit517,0.0008662
RDkitFP-RDKit::bit616,0.0008644748
RDkitFP-RDKit::bit1518,0.0008585702
RDkitFP-RDKit::bit1335,0.0008585527
RDkitFP-RDKit::bit1533,0.0008543114
RDkitFP-RDKit::bit537,0.00085334986
RDkitFP-RDKit::bit1241,0.0008479347
RDkitFP-RDKit::bit1634,0.0008464277
RDkitFP-RDKit::bit285,0.0008447656
RDkitFP-RDKit::bit821,0.0008400619
RDkitFP-RDKit::bit1139,0.0008393799
RDkitFP-RDKit::bit878,0.0008388891
RDkitFP-RDKit::bit341,0.0008383994
RDkitFP-RDKit::bit1668,0.0008366019
RDkitFP-RDKit::bit1728,0.0008356876
RDkitFP-RDKit::bit1265,0.00083371176
RDkitFP-RDKit::bit1459,0.0008324128
RDkitFP-RDKit::bit1059,0.0008253795
RDkitFP-RDKit::bit1678,0.00082533364
RDkitFP-RDKit::bit595,0.0008251914
RDkitFP-RDKit::bit1568,0.0008250503
RDkitFP-RDKit::bit65,0.0008242361
RDkitFP-RDKit::bit1599,0.0008241651
RDkitFP-RDKit::bit45,0.0008236295
RDkitFP-RDKit::bit1404,0.00082133483
RDkitFP-RDKit::bit600,0.00082132046
RDkitFP-RDKit::bit893,0.000820902
RDkitFP-RDKit::bit366,0.0008199786
RDkitFP-RDKit::bit1381,0.0008186099
RDkitFP-RDKit::bit1872,0.0008154073
RDkitFP-RDKit::bit589,0.0008146493
RDkitFP-RDKit::bit1125,0.0008137868
RDKit2D::fr_urea,0.0008111419
RDkitFP-RDKit::bit1670,0.00081071246
RDkitFP-RDKit::bit670,0.00080965494
RDKit2D::fr_Ndealkylation2,0.00080719497
RDkitFP-RDKit::bit68,0.0008053097
RDkitFP-RDKit::bit356,0.00080274855
RDkitFP-RDKit::bit2007,0.0008010887
RDkitFP-RDKit::bit152,0.00080085744
RDkitFP-RDKit::bit279,0.00079877244
RDkitFP-RDKit::bit1840,0.0007950943
RDkitFP-RDKit::bit1039,0.0007946857
RDkitFP-RDKit::bit278,0.00079449126
RDkitFP-RDKit::bit685,0.0007944261
RDkitFP-RDKit::bit1280,0.00079357205
RDkitFP-RDKit::bit1084,0.0007919892
RDkitFP-RDKit::bit204,0.000790444
RDkitFP-RDKit::bit515,0.00078675407
RDkitFP-RDKit::bit1106,0.00078404555
RDkitFP-RDKit::bit373,0.00077508524
RDkitFP-RDKit::bit2047,0.0007726989
RDkitFP-RDKit::bit1197,0.00077136245
RDkitFP-RDKit::bit1075,0.00077027554
RDkitFP-RDKit::bit1164,0.0007686837
RDkitFP-RDKit::bit644,0.00076821895
RDkitFP-RDKit::bit187,0.0007671612
RDkitFP-RDKit::bit1096,0.000765769
RDkitFP-RDKit::bit1202,0.00076542347
RDkitFP-RDKit::bit1416,0.00076486124
RDkitFP-RDKit::bit556,0.0007646787
RDkitFP-RDKit::bit568,0.00076433946
RDkitFP-RDKit::bit1528,0.0007641084
RDkitFP-RDKit::bit666,0.00076294626
RDkitFP-RDKit::bit1248,0.00076137617
RDkitFP-RDKit::bit621,0.0007598992
RDkitFP-RDKit::bit1524,0.0007592558
RDkitFP-RDKit::bit773,0.00075847394
RDkitFP-RDKit::bit389,0.00075811
RDkitFP-RDKit::bit585,0.0007579798
RDkitFP-RDKit::bit295,0.0007569214
RDkitFP-RDKit::bit1094,0.0007566861
RDkitFP-RDKit::bit2000,0.00075624307
RDkitFP-RDKit::bit1621,0.0007548472
RDkitFP-RDKit::bit1535,0.0007538623
RDkitFP-RDKit::bit851,0.00075148436
RDkitFP-RDKit::bit1863,0.00075039396
RDkitFP-RDKit::bit872,0.0007485858
RDkitFP-RDKit::bit1811,0.00074805587
RDkitFP-RDKit::bit1577,0.00074803043
RDkitFP-RDKit::bit659,0.00074768404
RDkitFP-RDKit::bit741,0.0007470015
RDkitFP-RDKit::bit1338,0.0007454274
