feature,importance
RDkitFP-RDKit::bit426,0.0026246505
RDkitFP-RDKit::bit1966,0.002248797
RDkitFP-RDKit::bit1940,0.0021333417
RDkitFP-RDKit::bit165,0.0021166604
RDkitFP-RDKit::bit2017,0.0020833262
RDkitFP-RDKit::bit570,0.0019926764
RDkitFP-RDKit::bit1151,0.001943928
RDkitFP-RDKit::bit1387,0.0019296946
RDkitFP-RDKit::bit1322,0.0019203945
RDkitFP-RDKit::bit410,0.0018026379
RDkitFP-RDKit::bit510,0.0017931293
RDkitFP-RDKit::bit1681,0.0017700149
RDkitFP-RDKit::bit2032,0.0017295966
pred_trans340::extra_tree,0.0017193601
RDkitFP-RDKit::bit228,0.0017043101
pred_trans340::rf,0.0016748853
RDkitFP-RDKit::bit1557,0.001669469
RDkitFP-RDKit::bit105,0.001631636
RDkitFP-RDKit::bit959,0.0016294172
RDkitFP-RDKit::bit502,0.0016025313
RDkitFP-RDKit::bit722,0.0015983562
RDkitFP-RDKit::bit1499,0.0015645375
RDkitFP-RDKit::bit1994,0.0015628847
RDkitFP-RDKit::bit1147,0.0015425176
RDkitFP-RDKit::bit1917,0.0015232055
RDkitFP-RDKit::bit1508,0.001501642
RDkitFP-RDKit::bit908,0.0014934521
RDkitFP-RDKit::bit831,0.0014785251
RDkitFP-RDKit::bit1725,0.0014781395
RDkitFP-RDKit::bit1850,0.0014726464
RDkitFP-RDKit::bit1126,0.0014699802
RDkitFP-RDKit::bit120,0.00146889
RDkitFP-RDKit::bit893,0.0014663768
RDkitFP-RDKit::bit821,0.0014606466
RDkitFP-RDKit::bit1889,0.0014465656
RDkitFP-RDKit::bit1120,0.0014384062
RDkitFP-RDKit::bit2006,0.001430463
RDkitFP-RDKit::bit1479,0.0014169554
RDkitFP-RDKit::bit931,0.0013762978
RDkitFP-RDKit::bit1846,0.0013615652
RDkitFP-RDKit::bit545,0.0013555012
RDkitFP-RDKit::bit1101,0.0013508461
RDkitFP-RDKit::bit1566,0.0013488972
RDkitFP-RDKit::bit1616,0.0013442769
RDkitFP-RDKit::bit760,0.0013397948
RDkitFP-RDKit::bit489,0.0013328101
RDkitFP-RDKit::bit1256,0.0013322354
RDKit2D::fr_ketone,0.0013188911
RDkitFP-RDKit::bit1950,0.0013047643
RDkitFP-RDKit::bit1582,0.0013030346
RDkitFP-RDKit::bit1421,0.0012941511
RDkitFP-RDKit::bit1094,0.0012879015
dyesSimMurcko::4,0.001280231
RDkitFP-RDKit::bit675,0.0012785909
RDkitFP-RDKit::bit26,0.0012782252
RDkitFP-RDKit::bit1815,0.0012744273
RDkitFP-RDKit::bit1081,0.0012717905
RDkitFP-RDKit::bit432,0.0012680806
RDkitFP-RDKit::bit906,0.0012617721
RDkitFP-RDKit::bit147,0.0012559736
RDkitFP-RDKit::bit369,0.0012484359
RDkitFP-RDKit::bit1948,0.0012478114
RDkitFP-RDKit::bit1984,0.0012468381
dyesChromophores::30,0.0012415901
RDkitFP-RDKit::bit899,0.0012322199
RDkitFP-RDKit::bit1198,0.0012254163
RDkitFP-RDKit::bit1905,0.0012193096
RDkitFP-RDKit::bit460,0.0012173209
RDkitFP-RDKit::bit1099,0.0012007398
RDkitFP-RDKit::bit1550,0.0011977716
RDkitFP-RDKit::bit762,0.0011777509
pred_fluo340::extra_tree,0.0011760481
RDkitFP-RDKit::bit653,0.0011753497
RDkitFP-RDKit::bit424,0.001173579
RDkitFP-RDKit::bit1412,0.0011632645
RDkitFP-RDKit::bit1341,0.0011583741
